Date;PX_LAST;PX_HIGH;PX_LOW;PX_OPEN
10.01.2018;57.022;57.0986;56.7672;56.2638
09.01.2018;57.0073;57.1835;56.8218;55.7803
05.01.2018;56.9902;57.1295;56.9165;56.2752
04.01.2018;56.8667;57.2893;56.8037;56.466
03.01.2018;57.2418;57.5721;57.1245;56.5398
29.12.2017;57.6258;57.9265;57.4772;56.67
28.12.2017;57.5187;57.7233;57.3923;56.5076
27.12.2017;57.7448;57.9329;57.3892;56.6721
26.12.2017;57.635;58.1351;57.5649;56.494
25.12.2017;57.9697;58.3944;57.8053;56.3815
22.12.2017;58.379;58.4976;58.1947;56.5725
21.12.2017;58.4753;58.753;58.4251;56.5726
20.12.2017;58.709;58.768;58.5952;56.9812
19.12.2017;58.7756;58.8619;58.543;56.9807
18.12.2017;58.6645;58.7755;58.5651;57.1222
15.12.2017;58.8097;59.044;58.7262;57.025
14.12.2017;58.7699;58.9157;58.5547;56.8353
13.12.2017;58.6355;59.2563;58.5405;57.1698
12.12.2017;59.2926;59.3005;58.7817;57.4971
11.12.2017;59.0067;59.3261;58.8843;57.8175
08.12.2017;59.1496;59.3876;59.0476;57.5861
07.12.2017;59.1859;59.3801;59.0795;57.8962
06.12.2017;59.2224;59.254;58.7371;57.6775
05.12.2017;58.7367;58.8528;58.599;57.9394
04.12.2017;58.8001;59.1126;58.6535;58.374
01.12.2017;58.8983;59.1514;58.4738;58.5396
30.11.2017;58.4524;58.739;58.359;58.6869
29.11.2017;58.6192;58.7123;58.2518;58.7877
28.11.2017;58.3751;58.5634;58.2155;58.6671
27.11.2017;58.4911;58.7551;58.0498;58.805
24.11.2017;58.3703;58.6125;58.2551;58.8527
23.11.2017;58.4656;58.5364;58.3228;58.8078
22.11.2017;58.4984;59.1618;58.45;59.259
21.11.2017;59.187;59.54;59.0947;58.9585
20.11.2017;59.3522;59.5822;58.9462;59.1262
17.11.2017;59.0783;59.7588;59.0079;59.1377
16.11.2017;59.6637;60.1016;59.5796;59.1987
15.11.2017;60.2065;60.4493;60.0303;58.7043
14.11.2017;60.2283;60.2408;59.4121;58.7474
13.11.2017;59.3649;59.594;59.0574;58.85
10.11.2017;59.2078;59.3652;58.9761;58.4465
09.11.2017;59.2997;59.4323;59.1088;58.6922
08.11.2017;59.2349;59.5823;59.0758;58.3708
07.11.2017;59.3528;59.442;58.3256;58.4825
03.11.2017;59.069;59.2783;58.1887;58.4125
02.11.2017;58.1698;58.4433;57.9867;58.4125
01.11.2017;58.2892;58.411;58.0277;58.5959
31.10.2017;58.3302;58.6072;57.9419;59.1591
30.10.2017;57.9706;58.2446;57.6618;59.3619
27.10.2017;58.0728;58.7593;57.9066;59.185
26.10.2017;57.8526;57.8904;57.4804;59.603
25.10.2017;57.7683;57.8151;57.5235;60.1085
24.10.2017;57.6421;57.7065;57.3791;60.1777
23.10.2017;57.5529;57.683;57.3618;59.417
20.10.2017;57.497;57.6392;57.3707;59.22
19.10.2017;57.2817;57.7295;57.2625;59.3657
18.10.2017;57.4282;57.5047;57.1761;59.268
17.10.2017;57.2986;57.5466;57.2554;59.355
16.10.2017;57.3177;57.4481;56.9448;58.4635
13.10.2017;57.1786;57.7448;57.061;59.0475
12.10.2017;57.6872;57.84;57.6217;58.2874
11.10.2017;57.828;58.0087;57.7712;58.2926
10.10.2017;57.9805;58.2023;57.8108;58.3224
09.10.2017;58.3443;58.5073;57.9362;57.9382
06.10.2017;58.182;58.2596;57.6862;58.297
05.10.2017;57.689;57.7241;57.3843;57.843
04.10.2017;57.6842;57.8722;57.5298;57.7355
03.10.2017;57.8969;58.1636;57.825;57.6455
02.10.2017;57.9038;57.9875;57.4809;57.5285
29.09.2017;57.4938;58.0996;57.4773;57.5875
28.09.2017;57.918;58.582;57.9116;57.363
27.09.2017;58.1945;58.3809;57.8192;57.4485
26.09.2017;57.8133;58.1521;57.3719;57.4751
25.09.2017;57.5523;57.7485;57.243;57.3102
22.09.2017;57.483;57.8471;57.4401;57.25
21.09.2017;57.8964;58.3604;57.7584;57.7462
20.09.2017;58.1113;58.2929;57.725;57.8745
19.09.2017;58.1331;58.3796;57.9295;57.9754
18.09.2017;58.1188;58.1542;57.5112;58.3402
15.09.2017;57.6327;57.7706;57.3911;58.0088
14.09.2017;57.503;57.9436;57.3911;57.5122
13.09.2017;57.9595;57.9753;57.5592;57.6601
12.09.2017;57.7019;57.7568;57.1388;57.8391
11.09.2017;57.205;57.3692;57.0441;57.8965
08.09.2017;57.3556;57.479;56.835;57.6
07.09.2017;56.8993;57.3696;56.7934;58.0112
06.09.2017;57.3647;57.5731;57.2725;58.1241
05.09.2017;57.5253;58.1024;57.2351;58.0508
04.09.2017;57.8315;57.9536;57.4959;57.7035
01.09.2017;57.4966;58.1905;57.4669;57.685
31.08.2017;58.0089;58.6424;57.9939;57.8489
30.08.2017;58.5589;58.8995;58.3315;57.8307
29.08.2017;58.8312;58.8842;58.4389;58.3045
28.08.2017;58.4439;58.6951;58.3419;58.0536
25.08.2017;58.5855;59.2192;58.548;57.6875
24.08.2017;59.1617;59.273;59.0714;57.5413
23.08.2017;59.0619;59.2474;59.0046;57.9427
22.08.2017;59.0824;59.1478;58.9313;57.698
21.08.2017;59.1428;59.2088;58.9282;57.1487
18.08.2017;59.0027;59.5047;59.0005;57.3138
17.08.2017;59.2288;59.4786;58.9963;56.9995
16.08.2017;59.381;59.7584;59.2778;57.3433
15.08.2017;59.7081;60.1154;59.7028;57.5056
14.08.2017;59.8688;59.8857;59.5654;57.8152
11.08.2017;59.8641;60.3088;59.8022;57.6224
10.08.2017;60.1152;60.1302;59.7207;58.0533
09.08.2017;59.9908;60.215;59.8813;58.4147
08.08.2017;59.83;60.1042;59.7103;58.764
07.08.2017;60.0267;60.3274;59.8703;58.5466
04.08.2017;59.9725;60.4832;59.8466;58.627
03.08.2017;60.354;60.8471;60.095;59.2591
02.08.2017;60.5736;60.8424;60.3832;59.0989
01.08.2017;60.3486;60.3529;59.721;59.0273
31.07.2017;59.7734;60.3378;58.9835;59.0718
28.07.2017;59.5514;59.6449;59.3682;58.8865
27.07.2017;59.4967;59.6532;59.3254;59.0217
26.07.2017;59.404;60.0573;59.3715;59.5093
25.07.2017;59.889;60.1935;59.7082;59.765
24.07.2017;60.0134;60.2026;59.0766;59.7378
21.07.2017;59.3735;59.3942;58.7745;59.875
20.07.2017;58.9307;59.2341;58.794;60.0458
19.07.2017;58.9869;59.3847;58.935;60.1412
18.07.2017;59.1672;59.4596;58.8959;59.767
17.07.2017;59.3441;59.5033;58.8767;60.0064
14.07.2017;59.0713;59.9609;59.0473;60.07
13.07.2017;59.8244;60.2815;59.663;60.2566
12.07.2017;59.9958;60.7317;59.9004;60.5788
11.07.2017;60.736;60.9898;60.3489;60.2549
10.07.2017;60.2377;60.5367;60.1783;59.9848
07.07.2017;60.3569;60.6216;60.2236;59.4413
06.07.2017;60.1452;60.4243;59.7654;59.4925
05.07.2017;59.9916;60.2465;59.3091;59.6744
04.07.2017;59.4271;59.45;59.1384;59.9885
03.07.2017;59.2664;59.4788;58.7957;59.9759
30.06.2017;58.943;59.5348;58.8689;59.6495
29.06.2017;59.4194;59.5885;58.9113;58.8642
28.06.2017;59.2112;59.8709;59.1992;58.9652
27.06.2017;59.49;59.4983;58.6411;59.2671
26.06.2017;58.7845;59.753;58.7709;59.3934
23.06.2017;59.4174;59.8427;59.3473;59.025
22.06.2017;59.9585;60.4003;59.6512;59.8742
21.06.2017;60.3043;60.4201;59.3347;59.963
20.06.2017;59.6258;59.7757;58.3444;60.8443
19.06.2017;58.4617;58.4754;57.6627;60.2299
